produto,marca,preço,quantidade_estoque,número_vendas,setor,modelo,valor_vendas_semana,data_venda,categoria,localizacao,desconto,valor_total_venda,fornecedor
Camisa Social Feminina,EliteElectronics,639.29,13,14,Roupas,EE-4,8950.06,2024-08-01,Roupas,Vitória,0.14,7697.05,Logística Iota
Boneca Barbie Fashion,BrightChoice,1840.64,77,11,Brinquedos,BC-7,20247.04,2024-08-03,Brinquedos,Goiânia,0.01,20044.57,Acessórios Zeta
Mouse Logitech MX Master,GigaStore,284.16,14,1,Eletrônicos,GS-3,284.16,2024-07-31,Eletrônicos,Belo Horizonte,0.05,269.95,Suprimentos Sigma
Tênis de Basquete Converse,SmartBuy,910.99,18,47,Esportes,SB-1,42816.53,2024-07-29,Esportes,São Paulo,0.15,36394.05,Suprimentos Sigma
Bola de Futebol Nike,InnovateTech,616.82,15,47,Esportes,IT-9,28990.54,2024-07-31,Esportes,Goiânia,0.07,26961.2,Suprimentos Delta
Sofá de Canto,ElectroMart,1173.46,7,2,Móveis,EM-5,2346.92,2024-08-02,Móveis,São Paulo,0.02,2299.98,Serviços Omicron
Mochila de Trekking,GigaStore,473.3,65,34,Esportes,GS-4,16092.2,2024-07-31,Esportes,Fortaleza,0.1,14482.98,Comércio Theta
Câmera Canon EOS R5,ValueLine,648.3,11,33,Eletrônicos,VL-9,21393.899999999998,2024-08-04,Eletrônicos,Brasília,0.02,20966.02,Armazém Kappa
Pelúcia Ursinho,QualityGoods,833.86,7,3,Brinquedos,QG-1,2501.58,2024-07-31,Brinquedos,Vitória,0.02,2451.55,Logística Iota
Alarmes e Sensores,SuperGadgets,435.96,92,6,Automotivo,SG-4,2615.7599999999998,2024-08-04,Automotivo,Cuiabá,0.13,2275.71,Distribuidora Alpha
Manteiga de Amendoim,SuperGadgets,704.76,33,9,Alimentos,SG-9,6342.84,2024-08-01,Alimentos,Campo Grande,0.05,6025.7,Importadora Tau
Aspirador de Pó Philips,PrimeProducts,247.83,82,42,Eletrodomésticos,PP-4,10408.86,2024-08-03,Eletrodomésticos,Cuiabá,0.13,9055.71,Armazém Kappa
Notebook MacBook Air,SmartBuy,868.56,83,32,Eletrônicos,SB-6,27793.92,2024-07-29,Eletrônicos,Palmas,0.05,26404.22,Venda Lambda
Pasta de Dente,InnovateTech,1110.18,10,32,Saúde,IT-6,35525.76,2024-08-01,Saúde,Maceió,0.08,32683.7,Suprimentos Delta
Rodas Esportivas,InnovateTech,1325.14,46,34,Automotivo,IT-5,45054.76,2024-08-04,Automotivo,Teresina,0.09,40999.83,Importadora Tau
Robô Educativo,HomeEssentials,1974.8,75,28,Brinquedos,HE-5,55294.4,2024-07-30,Brinquedos,São Luís,0.12,48659.07,Equipamentos Xi
Cabo de Ignição NGK,FutureTech,1703.21,54,8,Automotivo,FT-6,13625.68,2024-08-04,Automotivo,Aracaju,0.06,12808.14,Equipamentos Xi
Kit de Natação Speedo,GigaStore,363.36,36,24,Esportes,GS-7,8720.64,2024-07-30,Esportes,Fortaleza,0.13,7586.96,Importadora Tau
Ventilador Mondial,QualityGoods,386.59,79,18,Eletrodomésticos,QG-5,6958.62,2024-08-01,Eletrodomésticos,São Paulo,0.1,6262.76,Armazém Kappa
Cômoda 5 Gavetas,TechNova,469.79,93,27,Móveis,TN-1,12684.33,2024-07-29,Móveis,Cuiabá,0.1,11415.9,Fornecedora Rho
Kit de Primeiros Socorros,FutureTech,988.96,7,30,Saúde,FT-8,29668.800000000003,2024-08-03,Saúde,Fortaleza,0.07,27591.98,Comércio Theta
Kit de Maquiagem O Boticário,PrimeProducts,1960.79,95,22,Beleza,PP-4,43137.38,2024-07-31,Beleza,Rio de Janeiro,0.1,38823.64,Armazém Upsilon
Leite Desnatado,EcoWare,614.6,51,36,Alimentos,EW-10,22125.600000000002,2024-07-31,Alimentos,Cuiabá,0.12,19470.53,Acessórios Zeta
Atum em Lata,FutureTech,1416.55,48,47,Alimentos,FT-10,66577.84999999999,2024-08-02,Alimentos,Belo Horizonte,0.08,61251.62,Fornecedora Rho
Estação de Brinquedos,EliteElectronics,534.24,68,9,Brinquedos,EE-2,4808.16,2024-08-04,Brinquedos,Belo Horizonte,0.05,4567.75,Venda Lambda
Lâmpada de Farol Philips,OptimaGoods,880.73,44,32,Automotivo,OG-10,28183.36,2024-07-30,Automotivo,Manaus,0.02,27619.69,Distribuidora Alpha
Repelente de Insetos,MegaBrand,1890.38,20,13,Saúde,MB-6,24574.940000000002,2024-08-03,Saúde,Palmas,0.07,22854.69,Acessórios Zeta
Rack para TV,SuperGadgets,242.97,72,16,Móveis,SG-3,3887.52,2024-07-30,Móveis,João Pessoa,0.07,3615.39,Armazém Kappa
Vestido Longo Estampado,EliteElectronics,931.87,26,43,Roupas,EE-5,40070.41,2024-07-31,Roupas,Goiânia,0.07,37265.48,Equipamentos Xi
Vestido Longo Estampado,TechNova,1119.82,58,17,Roupas,TN-6,19036.94,2024-08-04,Roupas,Maceió,0.03,18465.83,Armazém Upsilon
Filtro de Ar K&N,ElectroMart,1699.36,66,13,Automotivo,EM-7,22091.68,2024-08-04,Automotivo,Palmas,0.1,19882.51,Fornecedora Rho
Shampoo Head & Shoulders,GigaStore,586.74,87,14,Beleza,GS-4,8214.36,2024-08-01,Beleza,Rio de Janeiro,0.01,8132.22,Armazém Upsilon
Açúcar Refinado,SmartChoice,1471.82,85,9,Alimentos,SC-7,13246.38,2024-07-29,Alimentos,Belém,0.07,12319.13,Distribuidora Alpha
Desembassador de Parabrisa,QualityGoods,1534.49,99,30,Automotivo,QG-3,46034.7,2024-08-02,Automotivo,Campo Grande,0.15,39129.49,Suprimentos Sigma
Macarrão Penne,GigaStore,1034.55,37,32,Alimentos,GS-6,33105.6,2024-08-02,Alimentos,Rio de Janeiro,0.12,29132.93,Inovações Mu
Água Micelar Garnier,PrimeProducts,1809.72,89,10,Beleza,PP-8,18097.2,2024-07-31,Beleza,Belo Horizonte,0.07,16830.4,Serviços Omicron
Secadora de Roupas Whirlpool,SuperGadgets,836.32,55,40,Eletrodomésticos,SG-4,33452.8,2024-08-02,Eletrodomésticos,Cuiabá,0.03,32449.22,Importadora Tau
Macacão Jeans,EliteElectronics,1504.81,60,47,Roupas,EE-1,70726.06999999999,2024-08-03,Roupas,Salvador,0.01,70018.81,Distribuidora Alpha
Colchonete para Yoga,TechNova,1525.18,23,48,Esportes,TN-2,73208.64,2024-07-30,Esportes,João Pessoa,0.02,71744.47,Acessórios Zeta
Casaco de Inverno,EliteElectronics,535.96,91,30,Roupas,EE-4,16078.800000000001,2024-08-04,Roupas,Aracaju,0.0,16078.8,Venda Lambda
Notebook Dell XPS 13,BrightChoice,1566.52,47,23,Eletrônicos,BC-8,36029.96,2024-08-01,Eletrônicos,Fortaleza,0.08,33147.56,Distribuição Pi
Arco e Flecha de Brinquedo,EliteElectronics,460.23,40,11,Brinquedos,EE-3,5062.530000000001,2024-07-30,Brinquedos,Goiânia,0.05,4809.4,Importadora Beta
Kit de Natação Speedo,EliteElectronics,1571.08,46,34,Esportes,EE-3,53416.72,2024-07-29,Esportes,Brasília,0.02,52348.39,Suprimentos Sigma
Bateria de Carro Varta,BrightChoice,1307.89,93,50,Automotivo,BC-1,65394.50000000001,2024-07-30,Automotivo,São Paulo,0.11,58201.11,Distribuição Pi
Lavadora de Roupas LG,SmartChoice,1458.0,77,6,Eletrodomésticos,SC-5,8748.0,2024-07-30,Eletrodomésticos,Cuiabá,0.03,8485.56,Importadora Beta
Manteiga de Amendoim,FutureTech,819.6,61,34,Alimentos,FT-7,27866.4,2024-07-31,Alimentos,Goiânia,0.13,24243.77,Equipamentos Xi
Aquecedor Cadence,PrimeProducts,1402.35,48,14,Eletrodomésticos,PP-9,19632.899999999998,2024-08-03,Eletrodomésticos,Goiânia,0.04,18847.58,Produtos Epsilon
Curativos Esterilizados,OptimaGoods,1925.38,72,16,Saúde,OG-9,30806.08,2024-07-30,Saúde,Brasília,0.03,29881.9,Distribuição Pi
Kits de Arte,ProLine,1891.11,39,18,Brinquedos,PL-4,34039.979999999996,2024-07-31,Brinquedos,João Pessoa,0.05,32337.98,Mercadorias Eta
Chá Verde,SuperGadgets,301.99,98,42,Alimentos,SG-1,12683.58,2024-08-01,Alimentos,Recife,0.05,12049.4,Distribuição Pi
Criado-Mudo,SmartBuy,977.63,89,16,Móveis,SB-10,15642.08,2024-08-04,Móveis,Salvador,0.06,14703.56,Comercial Nu
Desodorante Antibacteriano,BrightChoice,336.97,64,22,Saúde,BC-7,7413.34,2024-07-31,Saúde,Curitiba,0.12,6523.74,Distribuidora Alpha
Suporte para Celular,QualityGoods,1160.75,10,10,Automotivo,QG-6,11607.5,2024-08-03,Automotivo,Brasília,0.06,10911.05,Venda Lambda
Arroz Integral,SmartChoice,1576.23,47,43,Alimentos,SC-5,67777.89,2024-07-31,Alimentos,Campo Grande,0.02,66422.33,Mercadorias Eta
Cinta Abdominal,InnovateTech,231.02,28,29,Saúde,IT-5,6699.58,2024-08-04,Saúde,São Luís,0.09,6096.62,Suprimentos Delta
Cereal Matinal,Trendsetter,321.91,74,16,Alimentos,TS-3,5150.56,2024-07-31,Alimentos,Brasília,0.02,5047.55,Fornecedora Rho
Cadeira de Escritório com Rodízios,QualityGoods,796.22,34,15,Móveis,QG-2,11943.300000000001,2024-07-31,Móveis,Belo Horizonte,0.1,10748.97,Fornecedora Rho
Tênis de Basquete Converse,HomeEssentials,1227.45,92,36,Esportes,HE-9,44188.200000000004,2024-08-02,Esportes,Campo Grande,0.12,38885.62,Armazém Kappa
Kits de Arte,ValueLine,1130.46,36,49,Brinquedos,VL-7,55392.54,2024-08-04,Brinquedos,Palmas,0.08,50961.14,Fornecedora Gamma
Salsicha,QualityGoods,1209.48,78,7,Alimentos,QG-6,8466.36,2024-07-29,Alimentos,Palmas,0.1,7619.72,Suprimentos Delta
Raquete de Tênis Wilson,ProLine,1066.87,39,7,Esportes,PL-2,7468.089999999999,2024-08-01,Esportes,Porto Alegre,0.05,7094.69,Equipamentos Xi
Desinfetante Antisséptico,ProLine,1636.2,38,45,Saúde,PL-2,73629.0,2024-08-01,Saúde,São Paulo,0.08,67738.68,Fornecedora Gamma
Granola,TechNova,1303.85,43,17,Alimentos,TN-9,22165.449999999997,2024-07-30,Alimentos,Goiânia,0.12,19505.6,Logística Iota
Tênis de Corrida Asics,EliteElectronics,959.43,21,7,Esportes,EE-2,6716.009999999999,2024-07-30,Esportes,Teresina,0.0,6716.01,Fornecedora Rho
Capa de Banco,ElectroMart,1839.29,17,41,Automotivo,EM-2,75410.89,2024-07-31,Automotivo,Belo Horizonte,0.12,66361.58,Fornecedora Gamma
Kit de Natação Speedo,HomeEssentials,270.08,6,25,Esportes,HE-7,6752.0,2024-08-03,Esportes,Teresina,0.03,6549.44,Acessórios Zeta
Mesa de Jantar 6 Lugares,SuperGadgets,908.56,72,18,Móveis,SG-2,16354.079999999998,2024-08-03,Móveis,Recife,0.05,15536.38,Fornecedora Gamma
Desinfetante Antisséptico,HomeEssentials,740.64,38,13,Saúde,HE-7,9628.32,2024-07-29,Saúde,Rio de Janeiro,0.06,9050.62,Importadora Tau
Boneca Barbie Fashion,InnovateTech,268.27,94,5,Brinquedos,IT-5,1341.35,2024-07-29,Brinquedos,Recife,0.14,1153.56,Importadora Tau
Saia Midi,ProLine,1665.38,31,18,Roupas,PL-5,29976.840000000004,2024-07-31,Roupas,Belém,0.06,28178.23,Fornecedora Rho
Jogo de Tabuleiro Monopoly,ValueLine,572.3,33,10,Brinquedos,VL-5,5723.0,2024-07-31,Brinquedos,Palmas,0.04,5494.08,Comercial Nu
Azeite de Oliva,FutureTech,1146.47,98,44,Alimentos,FT-6,50444.68,2024-08-04,Alimentos,Cuiabá,0.04,48426.89,Fornecedora Gamma
Arroz Integral,OptimaGoods,1116.7,87,10,Alimentos,OG-9,11167.0,2024-08-04,Alimentos,Aracaju,0.08,10273.64,Produtos Epsilon
Porta-Copos Automotivo,EcoWare,1784.48,79,4,Automotivo,EW-8,7137.92,2024-08-03,Automotivo,Fortaleza,0.13,6209.99,Distribuição Pi
Macacão Jeans,BrightChoice,1690.18,6,40,Roupas,BC-10,67607.2,2024-08-04,Roupas,Aracaju,0.02,66255.06,Fornecedora Gamma
Desodorante Rexona,GigaStore,1912.55,26,25,Beleza,GS-9,47813.75,2024-08-03,Beleza,Recife,0.12,42076.1,Produtos Epsilon
Blusa de Frio Tricot,InnovateTech,1655.36,57,35,Roupas,IT-4,57937.6,2024-07-31,Roupas,Maceió,0.02,56778.85,Logística Iota
Aspirador de Pó Philips,EliteElectronics,422.21,78,50,Eletrodomésticos,EE-7,21110.5,2024-08-01,Eletrodomésticos,Belém,0.1,18999.45,Logística Iota
Geladeira Samsung Frost Free,PrimeProducts,158.76,16,44,Eletrodomésticos,PP-6,6985.44,2024-08-04,Eletrodomésticos,Vitória,0.07,6496.46,Distribuição Pi
Torradeira Philips,InnovateTech,428.45,89,41,Eletrodomésticos,IT-5,17566.45,2024-07-30,Eletrodomésticos,Salvador,0.13,15282.81,Armazém Kappa
Pelúcia Ursinho,TechNova,1191.65,51,17,Brinquedos,TN-7,20258.050000000003,2024-07-29,Brinquedos,Cuiabá,0.05,19245.15,Acessórios Zeta
Café em Grãos,ProLine,900.32,92,17,Alimentos,PL-4,15305.44,2024-08-04,Alimentos,Belo Horizonte,0.08,14081.0,Distribuidora Alpha
Creme para Massagem,HomeEssentials,309.93,40,5,Saúde,HE-9,1549.65,2024-07-30,Saúde,Manaus,0.13,1348.2,Mercadorias Eta
Kits de Arte,InnovateTech,1988.72,13,29,Brinquedos,IT-9,57672.88,2024-08-03,Brinquedos,Rio de Janeiro,0.13,50175.41,Equipamentos Xi
Lavadora de Roupas LG,ElectroMart,1075.06,28,46,Eletrodomésticos,EM-9,49452.759999999995,2024-08-04,Eletrodomésticos,Palmas,0.0,49452.76,Mercadorias Eta
Aquecedor Cadence,ElectroMart,1047.21,63,7,Eletrodomésticos,EM-4,7330.47,2024-07-30,Eletrodomésticos,Maceió,0.03,7110.56,Logística Iota
Feijão Preto,PrimeProducts,1033.48,40,13,Alimentos,PP-6,13435.24,2024-07-30,Alimentos,Porto Alegre,0.13,11688.66,Equipamentos Xi
Mochila de Trekking,OptimaGoods,1014.65,98,17,Esportes,OG-3,17249.05,2024-07-29,Esportes,Porto Alegre,0.01,17076.56,Equipamentos Xi
Patins Rollerblade,BrightChoice,361.36,31,28,Esportes,BC-4,10118.08,2024-08-01,Esportes,Recife,0.02,9915.72,Inovações Mu
Repelente de Insetos,BrightChoice,1996.45,94,8,Saúde,BC-4,15971.6,2024-08-04,Saúde,Recife,0.03,15492.45,Fornecedora Gamma
Saia Midi,QualityGoods,1313.13,94,50,Roupas,QG-1,65656.5,2024-07-30,Roupas,João Pessoa,0.14,56464.59,Distribuidora Alpha
T-shirt Básica,TechNova,455.49,96,44,Roupas,TN-3,20041.56,2024-07-30,Roupas,Maceió,0.03,19440.31,Fornecedora Rho
Água Micelar Garnier,PrimeProducts,1956.64,10,41,Beleza,PP-7,80222.24,2024-07-29,Beleza,Palmas,0.06,75408.91,Logística Iota
Arco e Flecha de Brinquedo,EliteElectronics,1385.97,10,11,Brinquedos,EE-4,15245.67,2024-08-03,Brinquedos,Belo Horizonte,0.07,14178.47,Produtos Epsilon
Blush MAC,Trendsetter,1380.3,55,7,Beleza,TS-10,9662.1,2024-08-03,Beleza,Cuiabá,0.03,9372.24,Produtos Epsilon
Kit de Primeiros Socorros,SuperGadgets,1145.76,93,36,Saúde,SG-7,41247.36,2024-08-04,Saúde,Rio de Janeiro,0.1,37122.62,Comércio Theta
Creme para Massagem,MegaBrand,1011.57,91,1,Saúde,MB-10,1011.57,2024-08-04,Saúde,Maceió,0.06,950.88,Equipamentos Xi
Shorts Esportivo,QualityGoods,1278.68,70,39,Roupas,QG-8,49868.520000000004,2024-07-29,Roupas,João Pessoa,0.05,47375.09,Equipamentos Xi
Aquecedor Cadence,SmartChoice,742.09,38,28,Eletrodomésticos,SC-3,20778.52,2024-08-04,Eletrodomésticos,Cuiabá,0.11,18492.88,Distribuidora Alpha
Creme para o Rosto Clinique,PrimeProducts,814.57,10,26,Beleza,PP-3,21178.82,2024-08-04,Beleza,Belém,0.14,18213.79,Mercadorias Eta
Suporte para Celular,SuperGadgets,429.85,38,15,Automotivo,SG-2,6447.75,2024-08-04,Automotivo,Curitiba,0.07,5996.41,Logística Iota
Kit de Maquiagem O Boticário,MegaBrand,778.31,19,46,Beleza,MB-6,35802.259999999995,2024-07-29,Beleza,Rio de Janeiro,0.05,34012.15,Equipamentos Xi
Desodorante Rexona,NextGenProducts,969.68,49,2,Beleza,NGP-5,1939.36,2024-07-31,Beleza,Campo Grande,0.1,1745.42,Inovações Mu
TV LED 55'',GigaStore,592.88,75,27,Eletrônicos,GS-4,16007.76,2024-08-01,Eletrônicos,Teresina,0.11,14246.91,Acessórios Zeta
Desembassador de Parabrisa,EliteElectronics,642.52,83,21,Automotivo,EE-9,13492.92,2024-07-31,Automotivo,Rio de Janeiro,0.05,12818.27,Comercial Nu
Mesa de Jantar 6 Lugares,ElectroMart,1596.79,61,1,Móveis,EM-4,1596.79,2024-08-01,Móveis,Salvador,0.08,1469.05,Comércio Theta
Mesa de Jantar 6 Lugares,Trendsetter,1248.27,97,18,Móveis,TS-2,22468.86,2024-08-01,Móveis,Campo Grande,0.06,21120.73,Equipamentos Xi
Farinha de Trigo,OptimaGoods,440.21,89,29,Alimentos,OG-9,12766.09,2024-07-30,Alimentos,Belo Horizonte,0.03,12383.11,Importadora Beta
Patins Rollerblade,OptimaGoods,965.67,16,29,Esportes,OG-6,28004.43,2024-07-31,Esportes,Palmas,0.15,23803.77,Produtos Epsilon
Criado-Mudo,TechNova,979.82,58,8,Móveis,TN-5,7838.56,2024-08-03,Móveis,Brasília,0.1,7054.7,Distribuidora Alpha
Cama Infantil,Trendsetter,1588.84,66,1,Móveis,TS-10,1588.84,2024-08-01,Móveis,Cuiabá,0.08,1461.73,Fornecedora Rho
Jogo de Tabuleiro Monopoly,ValueLine,1466.86,65,46,Brinquedos,VL-7,67475.56,2024-07-29,Brinquedos,Vitória,0.03,65451.29,Serviços Omicron
Cômoda 5 Gavetas,ElectroMart,1505.56,48,50,Móveis,EM-2,75278.0,2024-08-02,Móveis,Recife,0.07,70008.54,Inovações Mu
Bicicleta Mountain Bike,EliteElectronics,171.59,90,9,Esportes,EE-1,1544.31,2024-08-02,Esportes,Vitória,0.13,1343.55,Venda Lambda
Desumidificador Britânia,PrimeProducts,1609.73,25,24,Eletrodomésticos,PP-2,38633.520000000004,2024-07-30,Eletrodomésticos,Aracaju,0.09,35156.5,Comércio Theta
Antialérgico,ElectroMart,890.96,60,25,Saúde,EM-3,22274.0,2024-07-29,Saúde,Campo Grande,0.08,20492.08,Logística Iota
Base Vult,NextGenProducts,564.91,26,15,Beleza,NGP-1,8473.65,2024-07-30,Beleza,Teresina,0.08,7795.76,Logística Iota
Mesa de Café com 2 Puffs,ProLine,1973.18,36,5,Móveis,PL-2,9865.9,2024-08-03,Móveis,Porto Alegre,0.05,9372.6,Fornecedora Rho
Teclado Mecânico Razer,SuperGadgets,1919.9,80,42,Eletrônicos,SG-3,80635.8,2024-08-01,Eletrônicos,Manaus,0.12,70959.5,Suprimentos Delta
Carrinho Hot Wheels,ElectroMart,933.34,42,48,Brinquedos,EM-6,44800.32,2024-07-31,Brinquedos,Salvador,0.1,40320.29,Distribuidora Alpha
Drone DJI Mavic,ProLine,172.55,41,21,Eletrônicos,PL-4,3623.55,2024-08-04,Eletrônicos,Belo Horizonte,0.1,3261.2,Suprimentos Sigma
Camisa Polo,GigaStore,941.1,19,24,Roupas,GS-9,22586.4,2024-07-31,Roupas,Vitória,0.14,19424.3,Logística Iota
Tênis de Corrida Asics,QualityGoods,831.48,75,29,Esportes,QG-2,24112.920000000002,2024-07-31,Esportes,Campo Grande,0.03,23389.53,Venda Lambda
Cama Box King Size,MegaBrand,1695.68,99,10,Móveis,MB-7,16956.8,2024-07-30,Móveis,Teresina,0.12,14921.98,Acessórios Zeta
Kit de Ferramentas Automotivas,ValueLine,1425.22,85,26,Automotivo,VL-8,37055.72,2024-07-31,Automotivo,Recife,0.0,37055.72,Logística Iota
Camiseta de Futebol Adidas,SuperGadgets,1338.66,86,31,Esportes,SG-2,41498.46,2024-07-30,Esportes,Cuiabá,0.15,35273.69,Suprimentos Delta
Câmera de Segurança Arlo,InnovateTech,1446.5,43,38,Eletrônicos,IT-5,54967.0,2024-08-03,Eletrônicos,Rio de Janeiro,0.03,53317.99,Serviços Omicron
Carrinho de Controle Remoto,InnovateTech,235.68,37,2,Brinquedos,IT-8,471.36,2024-07-31,Brinquedos,Porto Alegre,0.02,461.93,Logística Iota
Espremedor de Frutas Hamilton Beach,ElectroMart,614.28,67,21,Eletrodomésticos,EM-9,12899.88,2024-07-29,Eletrodomésticos,São Paulo,0.14,11093.9,Serviços Omicron
Vestido Casual,QualityGoods,812.01,56,24,Roupas,QG-10,19488.239999999998,2024-08-03,Roupas,Aracaju,0.01,19293.36,Importadora Tau
Perfume Chanel No. 5,SmartBuy,106.74,34,32,Beleza,SB-3,3415.68,2024-08-03,Beleza,Fortaleza,0.08,3142.43,Comércio Theta
Mala de Viagem,OptimaGoods,261.01,43,8,Automotivo,OG-6,2088.08,2024-07-31,Automotivo,João Pessoa,0.04,2004.56,Mercadorias Eta
Vestido Casual,Trendsetter,1890.24,48,42,Roupas,TS-1,79390.08,2024-08-03,Roupas,Fortaleza,0.07,73832.77,Importadora Tau
Tênis de Corrida Asics,InnovateTech,890.64,92,37,Esportes,IT-1,32953.68,2024-07-30,Esportes,São Luís,0.09,29987.85,Logística Iota
Cordas de Escalada,BrightChoice,1009.73,12,35,Esportes,BC-5,35340.55,2024-08-01,Esportes,Aracaju,0.12,31099.68,Comercial Nu
Creme para o Rosto Clinique,SuperGadgets,1776.36,39,19,Beleza,SG-10,33750.84,2024-07-30,Beleza,Curitiba,0.02,33075.82,Logística Iota
Salsicha,SmartBuy,204.93,49,39,Alimentos,SB-2,7992.27,2024-07-30,Alimentos,Teresina,0.1,7193.04,Armazém Kappa
Feijão Preto,EliteElectronics,1410.57,11,41,Alimentos,EE-10,57833.369999999995,2024-08-01,Alimentos,Porto Alegre,0.04,55520.04,Importadora Tau
Cama Box King Size,ProLine,131.5,99,38,Móveis,PL-2,4997.0,2024-07-31,Móveis,Vitória,0.13,4347.39,Comercial Nu
Drone DJI Mavic,GigaStore,1726.3,28,7,Eletrônicos,GS-6,12084.1,2024-08-01,Eletrônicos,Fortaleza,0.04,11600.74,Serviços Omicron
Suéter de Lã,ElectroMart,1365.75,77,45,Roupas,EM-2,61458.75,2024-08-04,Roupas,Maceió,0.03,59614.99,Logística Iota
Camisa de Flanela,QualityGoods,564.69,74,9,Roupas,QG-7,5082.210000000001,2024-07-31,Roupas,Aracaju,0.0,5082.21,Distribuidora Alpha
Tenda para Acampamento,PrimeProducts,617.48,37,13,Esportes,PP-1,8027.24,2024-08-02,Esportes,João Pessoa,0.01,7946.97,Comércio Theta
Poltrona Reclinável,SmartBuy,439.74,33,37,Móveis,SB-10,16270.380000000001,2024-07-30,Móveis,São Luís,0.07,15131.45,Comércio Theta
Cordas de Escalada,ProLine,1731.89,58,15,Esportes,PL-4,25978.350000000002,2024-08-04,Esportes,Teresina,0.06,24419.65,Suprimentos Delta
Tênis de Corrida Asics,SmartBuy,1770.62,99,20,Esportes,SB-6,35412.399999999994,2024-08-03,Esportes,João Pessoa,0.06,33287.66,Inovações Mu
Painel para TV,ProLine,158.76,82,23,Móveis,PL-5,3651.4799999999996,2024-08-03,Móveis,Rio de Janeiro,0.01,3614.97,Mercadorias Eta
Suéter de Lã,HomeEssentials,1714.71,91,22,Roupas,HE-6,37723.62,2024-07-29,Roupas,Porto Alegre,0.06,35460.2,Importadora Beta
Creme Anti-Idade L'Oréal,BrightChoice,1328.47,81,40,Beleza,BC-8,53138.8,2024-08-01,Beleza,Fortaleza,0.09,48356.31,Armazém Upsilon
Antena para Carro,EcoWare,1898.7,86,44,Automotivo,EW-10,83542.8,2024-07-31,Automotivo,Maceió,0.12,73517.66,Distribuição Pi
Ventilador Mondial,InnovateTech,614.23,49,34,Eletrodomésticos,IT-4,20883.82,2024-08-01,Eletrodomésticos,Belo Horizonte,0.04,20048.47,Serviços Omicron
Curativos Esterilizados,BrightChoice,861.62,42,29,Saúde,BC-1,24986.98,2024-07-29,Saúde,Belo Horizonte,0.0,24986.98,Acessórios Zeta
Feijão Preto,GigaStore,1709.97,10,45,Alimentos,GS-6,76948.65,2024-08-04,Alimentos,Belo Horizonte,0.05,73101.22,Fornecedora Gamma
Kit de Primeiros Socorros,SmartChoice,1295.24,6,13,Saúde,SC-6,16838.12,2024-08-04,Saúde,Salvador,0.11,14985.93,Equipamentos Xi
Açúcar Refinado,FutureTech,477.49,98,9,Alimentos,FT-6,4297.41,2024-08-03,Alimentos,Recife,0.11,3824.69,Inovações Mu
Bicicleta Infantil,ValueLine,1824.19,73,37,Brinquedos,VL-1,67495.03,2024-08-01,Brinquedos,São Luís,0.03,65470.18,Armazém Upsilon
Tênis de Corrida Asics,InnovateTech,1480.38,25,32,Esportes,IT-6,47372.16,2024-08-01,Esportes,Porto Alegre,0.05,45003.55,Produtos Epsilon
Cafeteira Nespresso,SmartChoice,1258.82,68,23,Eletrodomésticos,SC-8,28952.859999999997,2024-07-30,Eletrodomésticos,Rio de Janeiro,0.1,26057.57,Inovações Mu
Medicamento Para Dor,EcoWare,883.11,90,41,Saúde,EW-6,36207.51,2024-08-01,Saúde,Belo Horizonte,0.08,33310.91,Acessórios Zeta
Margarina,SmartChoice,1324.66,74,15,Alimentos,SC-9,19869.9,2024-07-30,Alimentos,São Luís,0.06,18677.71,Mercadorias Eta
Calça Jeans Masculina,MegaBrand,1755.83,9,39,Roupas,MB-1,68477.37,2024-07-30,Roupas,São Paulo,0.13,59575.31,Importadora Beta
Tênis de Basquete Converse,BrightChoice,295.42,54,43,Esportes,BC-10,12703.060000000001,2024-07-31,Esportes,São Luís,0.07,11813.85,Acessórios Zeta
Camisa Social Feminina,Trendsetter,1919.14,38,36,Roupas,TS-10,69089.04000000001,2024-07-31,Roupas,Salvador,0.02,67707.26,Importadora Beta
Cafeteira Nespresso,ValueLine,463.75,89,1,Eletrodomésticos,VL-7,463.75,2024-07-31,Eletrodomésticos,Vitória,0.06,435.92,Importadora Tau
Blush MAC,HomeEssentials,1274.77,94,16,Beleza,HE-5,20396.32,2024-08-04,Beleza,Vitória,0.11,18152.72,Suprimentos Sigma
Manteiga de Amendoim,ElectroMart,1814.03,66,33,Alimentos,EM-4,59862.99,2024-08-04,Alimentos,João Pessoa,0.04,57468.47,Suprimentos Delta
Fogão Electrolux,ValueLine,1341.31,21,3,Eletrodomésticos,VL-4,4023.93,2024-07-29,Eletrodomésticos,Teresina,0.1,3621.54,Distribuidora Alpha
Console Xbox Series X,QualityGoods,543.42,17,16,Eletrônicos,QG-2,8694.72,2024-07-29,Eletrônicos,Vitória,0.05,8259.98,Equipamentos Xi
Poltrona Reclinável,EcoWare,372.83,89,8,Móveis,EW-3,2982.64,2024-07-30,Móveis,Palmas,0.08,2744.03,Serviços Omicron
Granola,GigaStore,304.89,67,22,Alimentos,GS-7,6707.58,2024-07-29,Alimentos,Maceió,0.0,6707.58,Comercial Nu
Repelente de Insetos,EcoWare,1337.37,54,25,Saúde,EW-6,33434.25,2024-08-01,Saúde,Belém,0.15,28419.11,Inovações Mu
Creme para Mãos Granado,HomeEssentials,1281.08,72,20,Beleza,HE-8,25621.6,2024-08-02,Beleza,Vitória,0.0,25621.6,Produtos Epsilon
